Provider,Model,Path,Input ($/1M tokens),Output ($/1M tokens),Context (tokens),Moderation
Anthropic,Claude Instant v1.1,anthropic/claude-instant-1.1,,--,"100,000",--
,LLaVA 13B,liuhaotian/llava-13b,,--,"2,048",--
Nous,Capybara 34B,nousresearch/nous-capybara-34b,,--,"200,000",--
OpenAI,GPT-4 Vision,openai/gpt-4-vision-preview,,--,"128,000",--
,lzlv 70B,lizpreciatior/lzlv-70b-fp16-hf,,--,"4,096",--
,Auto Router,openrouter/auto,,--,"2,000,000",--
,OpenHermes 2 Mistral 7B,teknium/openhermes-2-mistral-7b,,--,"8,192",--
,Mistral OpenOrca 7B,open-orca/mistral-7b-openorca,,--,"8,192",--
Nous,Hermes 70B,nousresearch/nous-hermes-llama2-70b,,--,"4,096",--
,Synthia 70B,migtissera/synthia-70b,,--,"8,192",--
Meta,CodeLlama 34B Instruct,meta-llama/codellama-34b-instruct,,--,"8,192",--
Phind,CodeLlama 34B v2,phind/phind-codellama-34b,,--,"4,096",--
Anthropic,Claude Instant v1,anthropic/claude-instant-1,,--,"100,000",--
Anthropic,Claude v1,anthropic/claude-1,,--,"100,000",--
Anthropic,Claude v1.2,anthropic/claude-1.2,,--,"100,000",--
Anthropic,Claude Instant v1.0,anthropic/claude-instant-1.0,,--,"100,000",--
OpenAI,Shap-e,openai/shap-e,,--,"2,048",--
OpenAI,GPT-3.5 Turbo (older v0301),openai/gpt-3.5-turbo-0301,,--,"4,095",--
